Esquema,Tabla,Total Registros,Filas con mayoría ceros/nulos,Filas con mayoría de datos,Clasificación
cun25019,zhf_urbana,14,14,0,mayoría ceros/nulos/valores pequeños
cun25019,zhf_rural,22,22,0,mayoría ceros/nulos/valores pequeños
cun25035,zhf_urbana,164,1,163,mayoría datos completos
cun25035,zhf_rural,131,131,0,mayoría ceros/nulos/valores pequeños
cun25040,zhf_urbana,60,1,59,mayoría datos completos
cun25040,zhf_rural,129,129,0,mayoría ceros/nulos/valores pequeños
cun25053,zhf_urbana,20,0,20,mayoría datos completos
cun25053,zhf_rural,63,63,0,mayoría ceros/nulos/valores pequeños
cun25095,zhf_urbana,21,21,0,mayoría ceros/nulos/valores pequeños
cun25095,zhf_rural,18,18,0,mayoría ceros/nulos/valores pequeños
cun25123,zhf_urbana,24,24,0,mayoría ceros/nulos/valores pequeños
cun25123,zhf_rural,40,0,40,mayoría datos completos
cun25151,zhf_urbana,93,93,0,mayoría ceros/nulos/valores pequeños
cun25151,zhf_rural,87,6,81,mayoría datos completos
cun25154,zhf_urbana,12,12,0,mayoría ceros/nulos/valores pequeños
cun25154,zhf_rural,93,93,0,mayoría ceros/nulos/valores pequeños
cun25168,zhf_urbana,34,0,34,mayoría datos completos
cun25168,zhf_rural,409,1,408,mayoría datos completos
cun25178,zhf_urbana,33,33,0,mayoría ceros/nulos/valores pequeños
cun25178,zhf_rural,52,52,0,mayoría ceros/nulos/valores pequeños
cun25245,zhf_urbana,31,31,0,mayoría ceros/nulos/valores pequeños
cun25245,zhf_rural,32,32,0,mayoría ceros/nulos/valores pequeños
cun25258,zhf_urbana,33,33,0,mayoría ceros/nulos/valores pequeños
cun25258,zhf_rural,18,18,0,mayoría ceros/nulos/valores pequeños
cun25260,zhf_urbana,25,25,0,mayoría ceros/nulos/valores pequeños
cun25260,zhf_rural,54,54,0,mayoría ceros/nulos/valores pequeños
cun25269,zhf_urbana,243,4,239,mayoría datos completos
cun25269,zhf_rural,405,405,0,mayoría ceros/nulos/valores pequeños
cun25279,zhf_urbana,77,0,77,mayoría datos completos
cun25279,zhf_rural,73,73,0,mayoría ceros/nulos/valores pequeños
cun25281,zhf_urbana,36,36,0,mayoría ceros/nulos/valores pequeños
cun25281,zhf_rural,45,45,0,mayoría ceros/nulos/valores pequeños
cun25288,zhf_urbana,45,45,0,mayoría ceros/nulos/valores pequeños
cun25288,zhf_rural,46,46,0,mayoría ceros/nulos/valores pequeños
cun25293,zhf_urbana,24,24,0,mayoría ceros/nulos/valores pequeños
cun25293,zhf_rural,21,16,5,mayoría ceros/nulos/valores pequeños
cun25297,zhf_urbana,25,25,0,mayoría ceros/nulos/valores pequeños
cun25297,zhf_rural,99,99,0,mayoría ceros/nulos/valores pequeños
cun25299,zhf_urbana,16,16,0,mayoría ceros/nulos/valores pequeños
